model,time_sec,accuracy_mean,f1_mean,auc_mean
KNN_5,22.72,0.8077,0.8148,0.7988
LogReg_L1,24.12,0.6923,0.6923,0.7337
LinearSVC,20.36,0.6923,0.6667,0.7219
Bagging_LR,27.37,0.7308,0.7407,0.716
LogReg_L2,26.43,0.6154,0.6429,0.7041
SGD_huber,20.57,0.6923,0.6923,0.6923
KNN_3,22.48,0.7692,0.7692,0.6864
GaussianNB,19.23,0.6923,0.6923,0.6864
RidgeClassifier,22.23,0.6538,0.6667,0.6746
LDA,21.78,0.6538,0.6667,0.6391
RandomForest,39.24,0.6154,0.5833,0.6272
GradientBoosting,26.21,0.5769,0.5217,0.5799
ExtraTrees,35.18,0.6538,0.64,0.5621
