permutation,auc
0,0.40236686390532533
1,0.5207100591715976
2,0.2662721893491124
3,0.514792899408284
4,0.5946745562130178
5,0.5
6,0.15384615384615385
7,0.3254437869822485
8,0.3520710059171598
9,0.4733727810650888
10,0.35798816568047337
11,0.2840236686390532
12,0.3994082840236687
13,0.17751479289940827
14,0.21893491124260359
15,0.5591715976331361
16,0.5591715976331362
17,0.7366863905325444
18,0.44378698224852076
19,0.5976331360946746
20,0.3727810650887574
21,0.5532544378698225
22,0.6538461538461537
23,0.40828402366863903
24,0.423076923076923
25,0.5029585798816568
26,0.4970414201183432
27,0.363905325443787
28,0.42899408284023666
29,0.5059171597633136
30,0.4082840236686391
31,0.22781065088757393
32,0.39349112426035504
33,0.393491124260355
34,0.4201183431952663
35,0.2781065088757397
36,0.5680473372781065
37,0.39349112426035504
38,0.47633136094674555
39,0.3698224852071006
40,0.41124260355029596
41,0.21301775147928995
42,0.39644970414201186
43,0.4970414201183431
44,0.5562130177514792
45,0.41124260355029585
46,0.576923076923077
47,0.48816568047337283
48,0.5
49,0.3905325443786982
50,0.562130177514793
51,0.19822485207100587
52,0.30177514792899407
53,0.39644970414201186
54,0.28402366863905326
55,0.40532544378698226
56,0.6301775147928994
57,0.2485207100591716
58,0.4970414201183432
59,0.3994082840236687
60,0.33727810650887574
61,0.30769230769230765
62,0.3402366863905325
63,0.3994082840236686
64,0.46153846153846156
65,0.5887573964497042
66,0.34615384615384615
67,0.4053254437869822
68,0.4467455621301776
69,0.21301775147928992
70,0.6272189349112427
71,0.544378698224852
72,0.4319526627218935
73,0.49112426035502965
74,0.3254437869822485
75,0.20710059171597633
76,0.28106508875739644
77,0.5532544378698225
78,0.3846153846153846
79,0.2781065088757397
80,0.4911242603550296
81,0.3609467455621302
82,0.4822485207100592
83,0.37278106508875736
84,0.665680473372781
85,0.35798816568047337
86,0.4319526627218935
87,0.6153846153846154
88,0.3550295857988166
89,0.3905325443786982
90,0.44378698224852076
91,0.3431952662721893
92,0.6893491124260355
93,0.47041420118343197
94,0.5414201183431953
95,0.4822485207100592
96,0.4467455621301775
97,0.3047337278106509
98,0.5118343195266273
99,0.3905325443786982
100,0.4053254437869822
101,0.6065088757396451
102,0.44082840236686394
103,0.3698224852071006
104,0.42603550295857984
105,0.42899408284023666
106,0.3964497041420118
107,0.46449704142011833
108,0.5355029585798817
109,0.4053254437869822
110,0.20414201183431951
111,0.30177514792899407
112,0.5000000000000001
113,0.2366863905325444
114,0.2692307692307692
115,0.5059171597633136
116,0.35502958579881655
117,0.44082840236686394
118,0.3431952662721893
119,0.6094674556213018
120,0.2485207100591716
121,0.363905325443787
122,0.5177514792899408
123,0.23964497041420119
124,0.17751479289940833
125,0.3431952662721893
126,0.529585798816568
127,0.6982248520710059
128,0.5118343195266272
129,0.32248520710059175
130,0.3698224852071006
131,0.514792899408284
132,0.3668639053254438
133,0.57396449704142
134,0.7041420118343196
135,0.41420118343195267
136,0.4792899408284024
137,0.529585798816568
138,0.4408284023668639
139,0.47337278106508873
140,0.4792899408284023
141,0.4822485207100592
142,0.4053254437869822
143,0.29881656804733725
144,0.41124260355029585
145,0.49408284023668647
146,0.5207100591715976
147,0.6242603550295858
148,0.3875739644970414
149,0.18934911242603553
150,0.485207100591716
151,0.3579881656804734
152,0.32840236686390534
153,0.4674556213017752
154,0.3520710059171598
155,0.49408284023668636
156,0.33727810650887574
157,0.3698224852071006
158,0.40532544378698226
159,0.47633136094674555
160,0.4792899408284025
161,0.20118343195266275
162,0.32840236686390534
163,0.5502958579881657
164,0.36390532544378695
165,0.47041420118343197
166,0.40236686390532544
167,0.5769230769230769
168,0.6331360946745562
169,0.2928994082840236
170,0.5
171,0.5384615384615384
172,0.42899408284023666
173,0.2337278106508876
174,0.3668639053254438
175,0.5177514792899409
176,0.45857988165680474
177,0.3816568047337278
178,0.4497041420118343
179,0.3136094674556213
180,0.591715976331361
181,0.4349112426035503
182,0.47633136094674555
183,0.5739644970414202
184,0.1923076923076923
185,0.4467455621301776
186,0.3994082840236687
187,0.41715976331360943
188,0.5325443786982249
189,0.3964497041420118
190,0.45857988165680474
191,0.5591715976331361
192,0.4881656804733728
193,0.2928994082840236
194,0.2692307692307692
195,0.5798816568047338
196,0.2603550295857988
197,0.3195266272189349
198,0.3431952662721893
199,0.6893491124260355
